255;Лениногорск;Город;Республика Татарстан;Приволжский;63 708;63 635;63 314;Убывание
256;Лысьва;Город;Пермский край;Приволжский;64 038;63 558;63 083;Убывание
257;Туапсе;Город;Краснодарский край;Южный;63 185;63 417;63 058;Убывание
258;Зеленогорск;Город;Красноярский край;Сибирский;64 343;63 388;62 670;Убывание
259;Будённовск;Город;Ставропольский край;Южный;63 644;63 338;62 964;Убывание
260;Буйнакск;Город;Республика Дагестан;Северо-Кавказский;62 921;63 312;63 888;Прирост
261;Полевской;Город;Свердловская область;Уральский;62 904;62 718;62 402;Убывание
262;Россошь;Город;Воронежская область;Центральный;62 538;62 688;62 680;Убывание
263;Сибай;Город;Республика Башкортостан;Приволжский;62 562;62 356;61 354;Убывание
264;Горно-Алтайск;Город;Республика Алтай;Сибирский;61 420;62 309;62 861;Прирост
265;Наро-Фоминск;Город;Московская область;Центральный;62 295;62 268;62 055;Убывание
266;Ревда;Город;Свердловская область;Уральский;61 974;62 209;62 395;Прирост
267;Когалым;Город;Ханты-Мансийский автономный округ — Югра;Уральский;61 011;62 191;63 334;Прирост
268;Кумертау;Город;Республика Башкортостан;Приволжский;61 943;61 810;61 312;Убывание
269;Клинцы;Город;Брянская область;Центральный;61 919;61 517;61 934;Прирост
270;Чистополь;Город;Республика Татарстан;Приволжский;61 092;61 110;60 949;Убывание
271;Котлас;Город;Архангельская область;Северо-Западный;60 532;60 981;61 512;Прирост
272;Лабинск;Город;Краснодарский край;Южный;61 195;60 971;60 665;Убывание
273;Воркута;Город;Республика Коми;Северо-Западный;61 638;60 368;59 231;Убывание
274;Ржев;Город;Тверская область;Центральный;60 831;60 334;60 039;Убывание
275;Александров;Город;Владимирская область;Центральный;60 580;60 205;59 787;Убывание
276;Лесосибирск;Город;Красноярский край;Сибирский;60 277;59 903;59 844;Убывание
277;Тихорецк;Город;Краснодарский край;Южный;59 981;59 597;59 297;Убывание
278;Мелеуз;Город;Республика Башкортостан;Приволжский;59 994;59 446;59 154;Убывание
279;Белебей;Город;Республика Башкортостан;Приволжский;59 533;59 430;59 081;Убывание
280;Видное;Город;Московская область;Центральный;57 358;59 334;62 355;Прирост
281;Сальск;Город;Ростовская область;Южный;59 696;59 126;58 680;Убывание
282;Фрязино;Город;Московская область;Центральный;58 177;58 942;59 793;Прирост
283;Шуя;Город;Ивановская область;Центральный;58 570;58 795;58 690;Убывание
284;Алексин;Город;Тульская область;Центральный;59 157;58 716;58 759;Прирост
285;Павлово;Город;Нижегородская область;Приволжский;59 029;58 582;58 423;Убывание
286;Краснотурьинск;Город;Свердловская область;Уральский;58 874;58 581;58 023;Убывание
287;Михайловка;Город;Волгоградская область;Южный;58 320;58 380;58 433;Прирост
288;Щёкино;Город;Тульская область;Центральный;58 531;58 344;57 973;Убывание
289;Тихвин;Город;Ленинградская область;Северо-Западный;58 289;58 253;57 970;Убывание
290;Прохладный;Город;Кабардино-Балкарская Республика;Северо-Кавказский;57 934;58 182;58 083;Убывание
291;Нерюнгри;Город;Республика Саха;Дальневосточный;58 846;58 133;57 791;Убывание
292;Искитим;Город;Новосибирская область;Сибирский;57 938;57 795;57 416;Убывание
293;Апатиты;Город;Мурманская область;Северо-Западный;57 905;57 398;56 683;Убывание
294;Крымск;Город;Краснодарский край;Южный;57 125;56 939;57 184;Прирост
295;Избербаш;Город;Республика Дагестан;Северо-Кавказский;56 322;56 914;57 511;Прирост
296;Гусь-Хрустальный;Город;Владимирская область;Центральный;57 616;56 676;55 973;Убывание
297;Нягань;Город;Ханты-Мансийский автономный округ — Югра;Уральский;55 946;56 617;57 120;Прирост
298;Лыткарино;Город;Московская область;Центральный;56 050;56 360;57 076;Прирост
299;Берёзовский;Город;Свердловская область;Уральский;55 199;56 052;56 586;Прирост
300;Урус-Мартан;Город;Чеченская Республика;Северо-Кавказский;54 248;55 783;57 615;Прирост
301;Жигулёвск;Город;Самарская область;Приволжский;55 559;55 476;55 052;Убывание
302;Свободный;Город;Амурская область;Дальневосточный;56 246;55 159;54 536;Убывание
303;Лиски;Город;Воронежская область;Центральный;55 092;55 149;54 788;Убывание
304;Волжск;Город;Республика Марий Эл;Приволжский;54 872;54 701;54 600;Убывание
305;Вязьма;Город;Смоленская область;Центральный;54 754;54 269;53 660;Убывание
306;Краснокамск;Город;Пермский край;Приволжский;53 697;53 939;53 964;Прирост
307;Краснокаменск;Город;Забайкальский край;Сибирский;54 608;53 795;53 242;Убывание
308;Выкса;Город;Нижегородская область;Приволжский;54 163;53 628;н/д;Прирост
309;Арсеньев;Город;Приморский край;Дальневосточный;54 085;53 543;53 083;Прирост
310;Узловая;Город;Тульская область;Центральный;53 316;52 825;52 328;Прирост
311;Тимашёвск;Город;Краснодарский край;Южный;52 953;52 641;52 581;Прирост
312;Солнечногорск;Город;Московская область;Центральный;52 775;52 554;52 446;Прирост
313;Кириши;Город;Ленинградская область;Северо-Западный;52 549;52 494;52 338;Прирост
314;Белореченск;Город;Краснодарский край;Южный;52 608;52 322;52 153;Прирост
315;Боровичи;Город;Новгородская область;Северо-Западный;52 687;52 212;51 555;Прирост
316;Рославль;Город;Смоленская область;Центральнй;52 070;51 775;51 466;Прирост
317;Черемхово;Город;Иркутская область;Сибирский;51 324;51 373;51 338;Прирост
318;Дзержинский;Город;Московская область;Центральный;48 470;51 306;53 867;Прирост
